Nem Lula nem o partido ainda encontraram um discurso para se diferenciar.	Nem Lula nem o partido ainda encontraram um discurso para se diferenciar .	expl
Falou da praia de Soci e do Castelo dAria, no cimo da colina de Dorzacos, quando o chefe da orquestra bebia copos de água gaseificada, apontou o pequeno restaurante do Ermitage em Moscovo, onde se comiam trutas.	Falou de a praia de Soci e de o Castelo dAria , em o cimo de a colina de Dorzacos , quando o chefe de a orquestra bebia copos de água gaseificada , apontou o pequeno restaurante de o Ermitage em Moscovo , onde se comiam trutas .	expl
O seu vestido escuro durante o funeral de Estaline, quando, apesar da multidão que se apinhava ao longo dos muros, para ela havia espaço, para que ninguém sequer lhe tocasse.	O seu vestido escuro durante o funeral de Estaline , quando , apesar de a multidão que se apinhava a o longo de os muros , para ela havia espaço , para que ninguém sequer lhe tocasse .	expl
Um aviso fugaz no grande mercado das aves, quando a indiferença da multidão lhe permitia observar com tranquilidade um peixinho circunscrito à água de uma garrafa e já ninguém era atraído pelo seu perfume, que ainda então se evaporava da carne rosada e abundante.	Um aviso fugaz em o grande mercado de as aves , quando a indiferença de a multidão lhe permitia observar com tranquilidade um peixinho circunscrito a a água de uma garrafa e já ninguém era atraído por o seu perfume , que ainda então se evaporava de a carne rosada e abundante .	expl
Mas a senhora lembra-se de quando era nova? pergunta-lhe de súbito.	Mas a senhora lembra se de quando era nova ? pergunta lhe de súbito .	obj
Parecia um pouco volumoso para tão pouca coisa, mas logo se colocou a hipótese do extracto ir acompanhado de algum folheto de publicidade a um novo produto verdadeiramente arrasador.	Parecia um pouco volumoso para tão pouca coisa , mas logo se colocou a hipótese de o extracto ir acompanhado de algum folheto de publicidade a um novo produto verdadeiramente arrasador .	nsubj
Como num gesto final de rendição, o cabo deu-me os binóculos que trazia e afirmou: um presentepara si.	Como em um gesto final de rendição , o cabo deu me os binóculos que trazia e afirmou : um presentepara si .	nmod
No campo do Lyon, o Mónaco não foi além de um empate sem golos, o que impediu a equipa de Rui Barros de se isolar no primeiro lugar.	Em o campo de o Lyon , o Mónaco não foi além de um empate sem golos , o que impediu a equipa de Rui Barros de se isolar em o primeiro lugar .	expl
Diga-se, também, que há quem pense o contrário.	Diga se , também , que há quem pense o contrário .	nsubj
Ao lado de Luís Miguel Cintra e de Leonor Silveira, apresentados como os guardiões da casa de Oliveira, Deneuve e Malkovich eram os estranhos seduzidos pela obscuridade palavra de Deneuve, lembrando-se de Buñuel.	A o lado de Luís Miguel Cintra e de Leonor Silveira , apresentados como os guardiões de a casa de Oliveira , Deneuve e Malkovich eram os estranhos seduzidos por a obscuridade palavra de Deneuve , lembrando se de Buñuel .	expl
E como disse a actriz, há certas coisas que não se devem desvendar.	E como disse a actriz , há certas coisas que não se devem desvendar .	expl
No último parágrafo das seis longas páginas, conclui-se por uma visão convergente sobre a necessidade de reformar positivamente o sistema político no sentido de assegurar melhor democracia e melhor desenvolvimento, na concretização de uma alternativa política ao PSD e ao Governo.	Em o último parágrafo de as seis longas páginas , conclui se por uma visão convergente sobre a necessidade de reformar positivamente o sistema político em o sentido de assegurar melhor democracia e melhor desenvolvimento , em a concretização de uma alternativa política a o PSD e a o Governo .	nsubj
A 45 anos de governação do Partido Nacional, quatro dos quais sob a batuta de Frederik Willem de Klerk, deverá seguir-se agora um período indeterminável de preponderância política do Congresso Nacional Africano (ANC), criado em 1912 para conseguir o fim do racismo.	A 45 anos de governação de o Partido Nacional , quatro de os quais sob a batuta de Frederik Willem de Klerk , deverá seguir se agora um período indeterminável de preponderância política de o Congresso Nacional Africano ( ANC ) , criado em 1912 para conseguir o fim de o racismo .	expl
E alguns observadores vêem em semelhante vantagem o perigo de uma tentação hegemónica, se bem que a Constituição interina a aprovar durante as próximas semanas preveja a representação no governo de todos os partidos que consigam pelo menos cinco por cento dos votos.	E alguns observadores vêem em semelhante vantagem o perigo de uma tentação hegemónica , se bem que a Constituição interina a aprovar durante as próximas semanas preveja a representação em o governo de todos os partidos que consigam por o menos cinco por cento de os votos .	mark
Palma Inácio, ex-comandante operacional da LUAR, numa entrevista ao Expresso, afirma que não reconhece, aos que contra ele se colocam, envergadura moral para o ofender e lembra que o ELP de Spínola foi a organização mais terrorista de Portugal.	Palma Inácio , ex-comandante operacional de a LUAR , em uma entrevista a o Expresso , afirma que não reconhece , a os que contra ele se colocam , envergadura moral para o ofender e lembra que o ELP de Spínola foi a organização mais terrorista de Portugal .	expl
Os arqueólogos chamados ao local avaliaram o achado como sendo da época de Júlio César, mas só agora, após diversas investigações das arqueólogas Ana Arruda e Catarina Viegas, acompanhadas por técnicos do Instituto Português do Património Arquitectónico e Arqueológico, se chegou a um consenso pleno.	Os arqueólogos chamados a o local avaliaram o achado como sendo de a época de Júlio César , mas só agora , após diversas investigações de as arqueólogas Ana Arruda e Catarina Viegas , acompanhadas por técnicos de o Instituto Português de o Património Arquitectónico e Arqueológico , se chegou a um consenso pleno .	nsubj
O sistema encontra-se disponível no mercado português e faz parte do pacote proposto aos franchisados.	O sistema encontra se disponível em o mercado português e faz parte de o pacote proposto a os franchisados .	expl
A Deco tem uma posição oposta e o organismo visado limita-se a propor uma leitura atenta do relatório de actividades desenvolvidas.	A Deco tem uma posição oposta e o organismo visado limita se a propor uma leitura atenta de o relatório de actividades desenvolvidas .	expl
É para esta região que se viram os olhos dos partidários do sim, ansiosos por uma votação que compense a quebra anunciada pelas sondagens noutras zonas do país.	É para esta região que se viram os olhos de os partidários de o sim , ansiosos por uma votação que compense a quebra anunciada por as sondagens em outras zonas de o país .	expl
se o não na primeira pergunta do referendo for maioritário na mais populosa das oito regiões propostas, isso significará, quase de certeza, a certidão de óbito do modelo nascido do acordo entre o PS e o PCP.	se o não em a primeira pergunta de o referendo for maioritário em a mais populosa de as oito regiões propostas , isso significará , quase de certeza , a certidão de óbito de o modelo nascido de o acordo entre o PS e o PCP .	mark
O horror de tudo se perder	O horror de tudo se perder	nsubj
Pense-se em Kingsley Amis, Malcolm Bradbury e Albert Finney.	Pense se em Kingsley Amis , Malcolm Bradbury e Albert Finney .	expl
Pense-se no romance que o primeiro escreveu The Green Man --, que o segundo adaptou e o terceiro interpretou.	Pense se em o romance que o primeiro escreveu The Green Man -- , que o segundo adaptou e o terceiro interpretou .	expl
Pense-se num enredo mirabolante, centrado num herói desfeito, o anti-herói Maurice Allington, e na maneira como o impensável o fantasma de Thomas Underhill o cerca.	Pense se em um enredo mirabolante , centrado em um herói desfeito , o anti-herói Maurice Allington , e em a maneira como o impensável o fantasma de Thomas Underhill o cerca .	expl
No fim, obtém-se uma série de televisão.	Em o fim , obtém se uma série de televisão .	expl
A América tem de preparar-se para o futuro.	A América tem de preparar se para o futuro .	obj
Segundo a Comissão de Afectados pela Barragem do Lindoso, entidade promotora da concentração, o objectivo perseguido mantém-se: prosseguir no seu protesto contra o que entendem ser uma atitude de chantagem da EDP.	Segundo a Comissão de Afectados por a Barragem de o Lindoso , entidade promotora de a concentração , o objectivo perseguido mantém se : prosseguir em o seu protesto contra o que entendem ser uma atitude de chantagem de a EDP .	expl
Em vésperas de Carnaval, a Associação Portuguesa para a Defesa do Consumidor (DECO) mostra-se preocupada com a utilização de explosivos nas brincadeiras carnavalescas, responsável todos os anos por inúmeros acidentes, sobretudo com crianças em idade escolar.	Em vésperas de Carnaval , a Associação Portuguesa para a Defesa de o Consumidor ( DECO ) mostra se preocupada com a utilização de explosivos em as brincadeiras carnavalescas , responsável todos os anos por inúmeros acidentes , sobretudo com crianças em idade escolar .	obj
Por exemplo, lembra também a DECO, entre os brinquedos preferidos pelas crianças nos festejos carnavalescos encontram-se os estalinhos, considerados brinquedos ou artifícios pirotécnicos que podem rebentar por choque ou através de um detonador.	Por exemplo , lembra também a DECO , entre os brinquedos preferidos por as crianças em os festejos carnavalescos encontram se os estalinhos , considerados brinquedos ou artifícios pirotécnicos que podem rebentar por choque ou através de um detonador .	obj
Encontram-se em todo o lado e, no entanto, o seu fabrico é proibido por lei.	Encontram se em todo o lado e , em o entanto , o seu fabrico é proibido por lei .	obj
O Japão respondeu que concorda com as sugestões norte-americanas e que apoia uma acção concertada para travar a valorização do iene, considerada como brutal a ambígua já que se pode conduzir à diminuição do excedente comercial japonês pode também pôr em causa o crescimento mundial, na opinião do secretário do Tesouro dos EUA, Lloyd Bentsen.	O Japão respondeu que concorda com as sugestões norte-americanas e que apoia uma acção concertada para travar a valorização de o iene , considerada como brutal a ambígua já que se pode conduzir a a diminuição de o excedente comercial japonês pode também pôr em causa o crescimento mundial , em a opinião de o secretário de o Tesouro de os EUA , Lloyd Bentsen .	mark
Mas não se arrependeram.	Mas não se arrependeram .	expl
Em Portugal desde 23 de Maio, Manuel António viveu em Lisboa, cerca de três meses, deslocando-se depois para o Porto.	Em Portugal desde 23 de Maio , Manuel António viveu em Lisboa , cerca de três meses , deslocando se depois para o Porto .	obj
Este último documento terá sido adquirido no Centro Comercial Dallas, no Porto, por 15 contos e destinava-se a ser usado numa viagem a França.	Este último documento terá sido adquirido em o Centro Comercial Dallas , em o Porto , por 15 contos e destinava se a ser usado em uma viagem a França .	expl
Espera-se ainda a aprovação, por parte da Comissão, da terceira parte do plano de ajuda à companhia francesa Air France, cujo montante global é de cerca de quatro milhões de dólares (cerca de 605 mil contos).	Espera se ainda a aprovação , por parte de a Comissão , de a terceira parte de o plano de ajuda a a companhia francesa Air France , cujo montante global é de cerca de quatro milhões de dólares ( cerca de 605 mil contos ) .	nsubj
m segundo lugar, e trata-se de uma conclusão menos taxativa, é de admitir que tenha diminuído a posição relativa da Região Norte no contexto do espaço sócio-económico português.	m segundo lugar , e trata se de uma conclusão menos taxativa , é de admitir que tenha diminuído a posição relativa de a Região Norte em o contexto de o espaço sócio-económico português .	expl
A perspectiva de as duas empresas competirem entre si sem se terem em conta os incómodos resultantes para os aveirenses acabou por ditar uma solução de consenso, tendo a autarquia funcionado como intermediária para o bom entendimento entre as partes.	A perspectiva de as duas empresas competirem entre si sem se terem em conta os incómodos resultantes para os aveirenses acabou por ditar uma solução de consenso , tendo a autarquia funcionado como intermediária para o bom entendimento entre as partes .	expl
E a possibilidade de as ruas de Aveiro se transformarem num estaleiro permanente, com um operador a abrir valas onde o seu concorrente as tinha fechado uns dias antes, não seria de todo inadmissível, até porque a legislação permite a livre concorrência entre os concessionários da TV por cabo.	E a possibilidade de as ruas de Aveiro se transformarem em um estaleiro permanente , com um operador a abrir valas onde o seu concorrente as tinha fechado uns dias antes , não seria de todo inadmissível , até porque a legislação permite a livre concorrência entre os concessionários de a TV por cabo .	expl
Segundo o acordo estabelecido, a TV Cabo Mondego, que entrou já em força no mercado local de assinantes, utiliza as fibras ópticas da rede telefónica já instaladas pela Portugal Telecom, enquanto a Pluricanal se servirá, mediante uma comparticipação financeira, das condutas do gás natural.	Segundo o acordo estabelecido , a TV Cabo Mondego , que entrou já em força em o mercado local de assinantes , utiliza as fibras ópticas de a rede telefónica já instaladas por a Portugal Telecom , enquanto a Pluricanal se servirá , mediante uma comparticipação financeira , de as condutas de o gás natural .	expl
Parece-me que nela se continuam a misturar alhos com bugalhos e a não hierarquizar adequadamente nem as convicções de fé nem as razões.	Parece me que em ela se continuam a misturar alhos com bugalhos e a não hierarquizar adequadamente nem as convicções de fé nem as razões .	expl
Numa reunião com comerciantes e moradores da vila velha, realizada terça-feira à tarde, os vereadores da CDU refutaram as acusações feitas pela presidente do município de estarem a atrasar obras importantes, garantindo não estar contra ou a favor da construção do silo na Volta do Duche que se encontra em banho-maria --, mas fizeram depender uma posição favorável da realização de um estudo mais vasto para toda a vila que prove a necessidade daquele investimento.	Em uma reunião com comerciantes e moradores de a vila velha , realizada terça-feira a a tarde , os vereadores de a CDU refutaram as acusações feitas por a presidente de o município de estarem a atrasar obras importantes , garantindo não estar contra ou a favor de a construção de o silo em a Volta de o Duche que se encontra em banho-maria -- , mas fizeram depender uma posição favorável de a realização de um estudo mais vasto para toda a vila que prove a necessidade de aquele investimento .	expl
Esta medida foi conseguida com a colaboração activa da Associação dos Operadores Portuários do Sul (AOPS) e da Associação dos Agentes de Navegação e Empresas Operadoras Portuárias (Anesul), e insere-se na política de modernização do sistema de informações da comunidade portuária em Setúbal.	Esta medida foi conseguida com a colaboração activa de a Associação de os Operadores Portuários de o Sul ( AOPS ) e de a Associação de os Agentes de Navegação e Empresas Operadoras Portuárias ( Anesul ) , e insere se em a política de modernização de o sistema de informações de a comunidade portuária em Setúbal .	obj
Já antes do século XIV se havia iniciado o capítulo da história que une Portugal à famosa Flandres, cuja referência povoa os nossos livros de História do secundário, marcando a memória com nomes quase míticos, como o de Antuérpia.	Já antes de o século XIV se havia iniciado o capítulo de a história que une Portugal a a famosa Flandres , cuja referência povoa os nossos livros de História de o secundário , marcando a memória com nomes quase míticos , como o de Antuérpia .	expl
A ESCOLA de Excelência escreve-se em maiúsculas.	A ESCOLA de Excelência escreve se em maiúsculas .	expl
A administração sempre foi bastante conservadora nas suas aplicações de capital, que se traduzem principalmente por investimentos no sector do petróleo e pela gestão de uma carteira de títulos no valor de dois biliões de dólares nos Estados Unidos, composta por acções e obrigações.	A administração sempre foi bastante conservadora em as suas aplicações de capital , que se traduzem principalmente por investimentos em o sector de o petróleo e por a gestão de uma carteira de títulos em o valor de dois biliões de dólares em os Estados Unidos , composta por acções e obrigações .	expl
Recorde-se que as receitas são obtidas na sua quase totalidade em dólares, que depois é necessário converter para a moeda nacional.	Recorde se que as receitas são obtidas em a sua quase totalidade em dólares , que depois é necessário converter para a moeda nacional .	expl
Mas quem não se fiar nestas aparências descobrirá que, nesta amálgama de sonoridades informes ou nesta acumulação de nuvens (cinzentas) com formas caprichosas toma forma um discurso feito de premonições, ameaças, trovões e relâmpagos, mortes anunciadas.	Mas quem não se fiar em estas aparências descobrirá que , em esta amálgama de sonoridades informes ou em esta acumulação de nuvens ( cinzentas ) com formas caprichosas toma forma um discurso feito de premonições , ameaças , trovões e relâmpagos , mortes anunciadas .	expl
Assim, todas as palavras com que Mateus (Manuel Wiborg) contribui para as conversas de caserna anunciam ou recordam o estupro e o assassínio de Sandra, bem como o suicídio com que ele se vai autopunir no final do espectáculo.	Assim , todas as palavras com que Mateus ( Manuel Wiborg ) contribui para as conversas de caserna anunciam ou recordam o estupro e o assassínio de Sandra , bem como o suicídio com que ele se vai autopunir em o final de o espectáculo .	expl
Não possui hoje Vendas Novas praça de toiros, razão por que a corrida aconteceu numa desmontável, mas António Morais, no seu livro A Praça de Toiros do Campo Pequeno, ao referir-se às outras praças do país, diz que José Valério construiu uma praça em Vendas Novas em 1862, tendo nela havido festas de toiros até 1875, ano em que soldados da Escola Prática de Artilharia, por descuido, provocaram o seu incêndio.	Não possui hoje Vendas Novas praça de toiros , razão por que a corrida aconteceu em uma desmontável , mas António Morais , em o seu livro A Praça de Toiros de o Campo Pequeno , a o referir se a as outras praças de o país , diz que José Valério construiu uma praça em Vendas Novas em 1862 , tendo em ela havido festas de toiros até 1875 , ano em que soldados de a Escola Prática de Artilharia , por descuido , provocaram o seu incêndio .	obj
Desta feita, redimiu-se a Escola Prática, ajudando à montagem da praça instalada no campo da feira e nela fizeram as cortesias José Maldonado Cortes, Nuno Pardal, o praticante José Francisco Cortes e o amador José Soudo, a quem saudamos o regresso após convalescer do gravíssimo percalço que lhe aconteceu na praça da Malveira.	de esta feita , redimiu se a Escola Prática , ajudando a a montagem de a praça instalada em o campo de a feira e em ela fizeram as cortesias José Maldonado Cortes , Nuno Pardal , o praticante José Francisco Cortes e o amador José Soudo , a quem saudamos o regresso após convalescer de o gravíssimo percalço que lhe aconteceu em a praça de a Malveira .	expl
Lidou-se um curro de toiros de José Luís Sommer de Andrade, que o Grupo de Forcados amadores da Moita pegou.	Lidou se um curro de toiros de José Luís Sommer de Andrade , que o Grupo de Forcados amadores de a Moita pegou .	nsubj
Para os operadores, também aqui as valorizações se ficaram a dever à reentrada de novos investidores, nomeadamente fundos de investimento internacionais.	Para os operadores , também aqui as valorizações se ficaram a dever a a reentrada de novos investidores , nomeadamente fundos de investimento internacionais .	expl
Recorde-se que Edberg, antes de Roland Garros, estava no 45º lugar, mas as excelentes exibições na terra batida parisiense e na relva londrina permitiram-lhe o salto.	Recorde se que Edberg , antes de Roland Garros , estava em o 45º lugar , mas as excelentes exibições em a terra batida parisiense e em a relva londrina permitiram lhe o salto .	expl
Cerimónia e combate em que a mística grotowski-barbiana, as artes marciais orientais, a música e a poesia italiana e um projecto intercultural se cruzam em boa harmonia.	Cerimónia e combate em que a mística grotowski-barbiana , as artes marciais orientais , a música e a poesia italiana e um projecto intercultural se cruzam em boa harmonia .	expl
O actor disse estar a produzir The Stars Fell on Henrietta, um filme realizado por James Keach, com Robert Duvall, e projecta rodar Golf in the Kingdom, que tem por tema o golfe, um desporto de que se confessa adepto.	O actor disse estar a produzir The Stars Fell on Henrietta , um filme realizado por James Keach , com Robert Duvall , e projecta rodar Golf in the Kingdom , que tem por tema o golfe , um desporto de que se confessa adepto .	expl
Desde Maio deste ano que Joaquim Correia, escultor natural do concelho da Marinha Grande - que doou os seus trabalhos para integrar o núcleo do museu no Convento de Santo Agostinho - chegou mesmo a ameaçar desvincular-se do compromisso com a autarquia, caso o processo não fosse desbloqueado até ao final do ano.	Desde Maio de este ano que Joaquim Correia , escultor natural de o concelho de a Marinha Grande que doou os seus trabalhos para integrar o núcleo de o museu em o Convento de Santo Agostinho chegou mesmo a ameaçar desvincular se de o compromisso com a autarquia , caso o processo não fosse desbloqueado até a o final de o ano .	expl
Joaquim Correia justificou a sua posição cautelosa sobre o assunto, adiantando que o processo de reconversão do Convento de Santo Agostinho em museu se arrasta há oito anos.	Joaquim Correia justificou a sua posição cautelosa sobre o assunto , adiantando que o processo de reconversão de o Convento de Santo Agostinho em museu se arrasta há oito anos .	expl
Jean Alesi obteve ontem a pole position provisória para o Grande Prémio de Espanha, que se disputa amanhã no circuito da Catalunha (Barcelona).	Jean Alesi obteve ontem a pole position provisória para o Grande Prémio de Espanha , que se disputa amanhã em o circuito de a Catalunha ( Barcelona ) .	expl
Depois do segundo e terceiro lugares no GP de San Marino, há duas semanas, e dos bons resultados conseguidos nos testes realizados nos dias seguintes, também no circuito de Ímola (Berger foi o mais rápido dos 16 pilotos que estiveram em pista, batendo Schumacher e Hill), a Ferrari mostra em Barcelona que a sua competitividade está a aumentar, reforçando a ideia de que se poderá bater em igualdade de circunstâncias com a Benetton e a Williams, as duas equipas motorizadas pela Renault.	Depois de o segundo e terceiro lugares em o GP de San Marino , há duas semanas , e de os bons resultados conseguidos em os testes realizados em os dias seguintes , também em o circuito de Ímola ( Berger foi o mais rápido de os 16 pilotos que estiveram em pista , batendo Schumacher e Hill ) , a Ferrari mostra em Barcelona que a sua competitividade está a aumentar , reforçando a ideia de que se poderá bater em igualdade de circunstâncias com a Benetton e a Williams , as duas equipas motorizadas por a Renault .	nsubj
Gerhard Berger tem-se mostrado um dos menos entusiasmados com os últimos resultados, uma posição reforçada ontem pelo próprio Jean Todt, director desportivo da Scuderia:	Gerhard Berger tem se mostrado um de os menos entusiasmados com os últimos resultados , uma posição reforçada ontem por o próprio Jean Todt , director desportivo de a Scuderia :	expl
Entretanto, Bernardo Vasconcelos, médico do Benfica, confirmou ontem que, na sequência do ocorrido no último Benfica-Sporting, João Pinto será operado, embora ainda não se conheça exactamente a extensão da lesão.	Entretanto , Bernardo Vasconcelos , médico de o Benfica , confirmou ontem que , em a sequência de o ocorrido em o último Benfica-Sporting , João Pinto será operado , embora ainda não se conheça exactamente a extensão de a lesão .	nsubj
Também não se sabe quando ou onde ocorrerá a intervenção cirúrgica.	Também não se sabe quando ou onde ocorrerá a intervenção cirúrgica .	nsubj
Pode ir até seis meses, mas se não for necessária ligamentoplastia será menos tempo.	Pode ir até seis meses , mas se não for necessária ligamentoplastia será menos tempo .	mark
Burlões aproveitam-se do Kuwait	Burlões aproveitam se de o Kuwait	expl
Um guineense e uma portuguesa que se dedicavam a angariar trabalhadores para o Kuwait, cobrando uma taxa de dez contos, foram detidos pela Polícia Judiciária.	Um guineense e uma portuguesa que se dedicavam a angariar trabalhadores para o Kuwait , cobrando uma taxa de dez contos , foram detidos por a Polícia Judiciária .	expl
Quanto aos 75 mil contos que a Secretaria de Estado diz agora ter disponibilizado para a operação de salvamento do peixe, ninguém sabe onde, como e por quem foram utilizados, até porque das centenas de toneladas ali existentes apenas se salvaram cerca de duas dezenas.	Quanto a os 75 mil contos que a Secretaria de Estado diz agora ter disponibilizado para a operação de salvamento de o peixe , ninguém sabe onde , como e por quem foram utilizados , até porque de as centenas de toneladas ali existentes apenas se salvaram cerca de duas dezenas .	expl
Cumprindo a promessa de se deslocar ao Porto na primeira terça-feira de cada mês, para reuniões de trabalho com os responsáveis autárquicos e os agentes culturais da cidade, o ministro recebeu ontem, entre outros, o director do Teatro Nacional de S. João, Ricardo Pais, a responsável do Teatro Rivoli, Isabel Alves Costa, e ainda representantes do Teatro ArtImagem e do Museu de Imprensa, cuja primeira fase será inaugurada pelo Presidente da República na próxima sexta-feira.	Cumprindo a promessa de se deslocar a o Porto em a primeira terça-feira de cada mês , para reuniões de trabalho com os responsáveis autárquicos e os agentes culturais de a cidade , o ministro recebeu ontem , entre outros , o director de o Teatro Nacional de S. João , Ricardo Pais , a responsável de o Teatro Rivoli , Isabel Alves Costa , e ainda representantes de o Teatro ArtImagem e de o Museu de Imprensa , cuja primeira fase será inaugurada por o Presidente de a República em a próxima sexta-feira .	expl
Neste último ano, o que é que o PSD propôs em matéria cultural?, perguntou o ministro, aludindo ao primeiro aniversário da liderança de Marcelo Rebelo de Sousa, que se celebrava à mesma hora em Santa Maria da Feira.	Em este último ano , o que é que o PSD propôs em matéria cultural ? , perguntou o ministro , aludindo a o primeiro aniversário de a liderança de Marcelo Rebelo de Sousa , que se celebrava a a mesma hora em Santa Maria de a Feira .	expl
Num país em que ainda segundo estatísticas das Nações Unidas mais de metade da população tem menos de 15 anos, foi estranho para muitos observadores que o número de eleitores potenciais se estimasse em 5,8 milhões, para uma população total calculada em dez.	Em um país em que ainda segundo estatísticas de as Nações Unidas mais de metade de a população tem menos de 15 anos , foi estranho para muitos observadores que o número de eleitores potenciais se estimasse em 5,8 milhões , para uma população total calculada em dez .	expl
O que se sabe, concretamente, é que neste momento o número de portadores do cartão de eleitor em Angola já ultrapassou os 4,3 milhões e o alargamento do prazo de registo até 10 de Agosto permitirá recensear as pessoas que vivem nos lugares mais remotos do território.	O que se sabe , concretamente , é que em este momento o número de portadores de o cartão de eleitor em Angola já ultrapassou os 4,3 milhões e o alargamento de o prazo de registo até 10 de Agosto permitirá recensear as pessoas que vivem em os lugares mais remotos de o território .	nsubj
Depois, sentaram-se o guarda-redes Veiga e o belga Lucien Huth, treinador dos guardiões encarnados.	Depois , sentaram se o guarda-redes Veiga e o belga Lucien Huth , treinador de os guardiões encarnados .	expl
Se a primeira volta das eleições foi marcada por um inenarrável caos organizativo, a segunda correu relativamente bem.	Se a primeira volta de as eleições foi marcada por um inenarrável caos organizativo , a segunda correu relativamente bem .	mark
Em cada volta desta roda avança-se 10 centímetros e são trucidadas cinco toneladas de rocha.	Em cada volta de esta roda avança se 10 centímetros e são trucidadas cinco toneladas de rocha .	nsubj
Estabelece-se que não há lugar à suspensão ou demissão do médico veterinário coordenador ou dos executores no decurso do programa sanitário anual, a não ser por motivo de força maior, devidamente justificado e aceite pela direcção regional de agricultura, com posterior homologação pela Direcção Geral de Veterinária.	Estabelece se que não há lugar a a suspensão ou demissão de o médico veterinário coordenador ou de os executores em o decurso de o programa sanitário anual , a não ser por motivo de força maior , devidamente justificado e aceite por a direcção regional de agricultura , com posterior homologação por a Direcção Geral de Veterinária .	nsubj
Consagra-se também o direito desta última efectuar visitas de inspecção e auditoria técnica às OPP e explorações nelas integradas, bem como aos produtores individuais, impor as correcções tidas como necessárias ou propor medidas sancionatórias.	Consagra se também o direito de esta última efectuar visitas de inspecção e auditoria técnica a as OPP e explorações em elas integradas , bem como a os produtores individuais , impor as correcções tidas como necessárias ou propor medidas sancionatórias .	nsubj
Depois desta fase, os participantes dividem-se em círculos menores, por grupos linguísticos, de modo a produzir sugestões para os documentos finais.	Depois de esta fase , os participantes dividem se em círculos menores , por grupos linguísticos , de modo a produzir sugestões para os documentos finais .	expl
Perdoa-nos, Erich Honecker era o título de primeira página do antigo jornal do Partido Comunista soviético, Pravda, segundo o qual os actuais dirigentes da Rússia teriam aberto um precedente para si próprios ao entregar o seu antigo amigo e camarada.	Perdoa nos , Erich Honecker era o título de primeira página de o antigo jornal de o Partido Comunista soviético , Pravda , segundo o qual os actuais dirigentes de a Rússia teriam aberto um precedente para si próprios a o entregar o seu antigo amigo e camarada .	iobj
Isto deve-se possivelmente ao facto de Pedro Pessoa ter feito a prova com dorsal trocado.	Isto deve se possivelmente a o facto de Pedro Pessoa ter feito a prova com dorsal trocado .	expl
Casos semelhantes a este são frequentes nas corridas de estrada que se efectuam em Portugal e dificultam e falseiam a elaboração das classificações individuais e colectivas.	Casos semelhantes a este são frequentes em as corridas de estrada que se efectuam em Portugal e dificultam e falseiam a elaboração de as classificações individuais e colectivas .	expl
Magalhães Mota, que se confessou muito perturbado ao tomar conhecimento da morte do seu grande amigo, evocou um encontro de ambos, há cerca de um mês, na Buchholz, livraria lisboeta que o professor Miller Guerra frequentava assiduamente.	Magalhães Mota , que se confessou muito perturbado a o tomar conhecimento de a morte de o seu grande amigo , evocou um encontro de ambos , há cerca de um mês , em a Buchholz , livraria lisboeta que o professor Miller Guerra frequentava assiduamente .	expl
Quando folheávamos os livros acabados de sair, Miller Guerra lembrou-se, a propósito da situação política actual, de uma frase de Camus  É preciso imaginar o Sísifo ditoso  e acrescentou que a democracia tem este aspecto:	Quando folheávamos os livros acabados de sair , Miller Guerra lembrou se , a propósito de a situação política actual , de uma frase de Camus É preciso imaginar o Sísifo ditoso e acrescentou que a democracia tem este aspecto :	expl
Outra pessoa com melhor currículo candidata-se ao mesmo emprego.	Outra pessoa com melhor currículo candidata se a o mesmo emprego .	expl
Mas se tivermos em conta a nossa dimensão, ninguém em tão pouco tempo cobriu o país como nós.	Mas se tivermos em conta a nossa dimensão , ninguém em tão pouco tempo cobriu o país como nós .	mark
O Governo indiano considera que dispõe de meios suficientes para realizar com sucesso as operações de socorro, mostrando-se reticente, segundo um responsável da distribuição da ajuda internacional, no que respeita a receber pessoal estrangeiro.	O Governo indiano considera que dispõe de meios suficientes para realizar com sucesso as operações de socorro , mostrando se reticente , segundo um responsável de a distribuição de a ajuda internacional , em o que respeita a receber pessoal estrangeiro .	expl
Ministério que, aliás, acusa de ser culpado de parte dos problemas que se vivem na Costa da Caparica.	Ministério que , aliás , acusa de ser culpado de parte de os problemas que se vivem em a Costa de a Caparica .	expl
Se não houver, de facto, uma substancial alteração na conduta dos centros de saúde nesta área, a saúde escolar tenderá a ser o que já é fora dos concelhos de Lisboa, Coimbra e Porto: a medicina curativa das urgências hospitalares, a que os pais recorrem quando o filho está doente.	Se não houver , de facto , uma substancial alteração em a conduta de os centros de saúde em esta área , a saúde escolar tenderá a ser o que já é fora de os concelhos de Lisboa , Coimbra e Porto : a medicina curativa de as urgências hospitalares , a que os pais recorrem quando o filho está doente .	mark
